Conference,Year,Paper Title,Paper DOI,Link,IEEE XPLORE Article Number,"Paper type: C=conference paper, T = TVCG journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Names,Author IDs,Deduped author names,filename,Citations
InfoVis,2008,Perceptual Organization in User-Generated Graph Layouts,10.1109/TVCG.2008.155,http://dx.doi.org/10.1109/TVCG.2008.155,4658147,T,"van Ham, F.;Rogowitz, B.",37882135400;37332114400,"van Ham, F.;Rogowitz, B.",vanham_infovis_08,1382886;4376131
InfoVis,2008,Rapid Graph Layout Using Space filling Curves,10.1109/TVCG.2008.158,http://dx.doi.org/10.1109/TVCG.2008.158,4658143,T,"Muelder, C.;Kwan-Liu Ma",37299311900;37275869400,"Muelder, C.;Kwan-Liu Ma",muelder_infovis_08,1173159;1532145;1532126;1382906;4376155
InfoVis,2008,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,10.1109/TVCG.2008.153,http://dx.doi.org/10.1109/TVCG.2008.153,4658123,T,"Elmqvist, N.;Dragicevic, P.;Fekete, J.",37295438200;37590932700;37407972900,"Elmqvist, N.;Dragicevic, P.;Fekete, J.",elmqvist_infovis_08,4376144;4389013;4376131;146386;4035743;1532136;346302;729568;485139;1249016;885086;1382892;1382905;4376146;1382895
InfoVis,2008,Spatially Ordered Treemaps,10.1109/TVCG.2008.165,http://dx.doi.org/10.1109/TVCG.2008.165,4658149,T,"Wood, J.;Dykes, J.",37399045100;37605079900,"Wood, J.;Dykes, J.",wood_infovis_08,963283;963290;4376129;4376152
InfoVis,2008,Stacked Graphs - Geometry & Aesthetics,10.1109/TVCG.2008.166,http://dx.doi.org/10.1109/TVCG.2008.166,4658136,T,"Byron, L.;Wattenberg, M.",37868017200;37550759700,"Byron, L.;Wattenberg, M.",byron_infovis_08,4015420;1532122;4376131;885098
InfoVis,2008,The Shaping of Information by Visual Metaphors,10.1109/TVCG.2008.171,http://dx.doi.org/10.1109/TVCG.2008.171,4658138,T,"Ziemkiewicz, C.;Kosara, R.",37548028800;37282563400,"Ziemkiewicz, C.;Kosara, R.",ziemkiew_infovis_08,1382885;1173153;1382905;963290
InfoVis,2008,"The Word Tree, an Interactive Visual Concordance",10.1109/TVCG.2008.172,http://dx.doi.org/10.1109/TVCG.2008.172,4658133,T,"Wattenberg, M.;Viegas, F.B.",37550759700;,"Wattenberg, M.;Viegas, F.B.",wattenbe_infovis_08,1173155;4389006;4376131;1173148
InfoVis,2008,VisGets: Coordinated Visualizations for Web-based Information Exploration and Discovery,10.1109/TVCG.2008.175,http://dx.doi.org/10.1109/TVCG.2008.175,4658131,T,"Dork, M.;Carpendale, S.;Collins, C.;Williamson, C.",;37285000100;37669874100;37276124700,"Dork, M.;Carpendale, S.;Collins, C.;Williamson, C.",doerk_infovis_08,4376138;4376132;4376131;398863;1532122;567610
InfoVis,2008,Vispedia: Interactive Visual Exploration of Wikipedia Data via Search-Based Integration,10.1109/TVCG.2008.178,http://dx.doi.org/10.1109/TVCG.2008.178,4658132,T,"Chan, B.;Wu, L.;Talbot, J.;Cammarano, M.;Hanrahan, P.",37876908500;37877444800;37604514900;37870000300;37349803800,"Chan, B.;Wu, L.;Talbot, J.;Cammarano, M.;Hanrahan, P.",chan_infovis_08,4376141;4376131;4389010
InfoVis,2008,Visualizing Incomplete and Partially Ranked Data,10.1109/TVCG.2008.181,http://dx.doi.org/10.1109/TVCG.2008.181,4658150,T,"Kidwell, P.;Lebanon, G.;Cleveland, W.S.",37865597100;37427770800;37282344300,"Kidwell, P.;Lebanon, G.;Cleveland, W.S.",kidwell_infovis_08,
InfoVis,2008,Viz-A-Vis: Toward Visualizing Video through Computer Vision,10.1109/TVCG.2008.185,http://dx.doi.org/10.1109/TVCG.2008.185,4658139,T,"Romero, M.;Summet, J.;Stasko, J.;Abowd, G.",37878399300;37300431800;37267736900;37297994200,"Romero, M.;Summet, J.;Stasko, J.;Abowd, G.",romero_infovis_08,1250401;4376136
InfoVis,2008,Who Votes For What? A Visual Query Language for Opinion Data,10.1109/TVCG.2008.187,http://dx.doi.org/10.1109/TVCG.2008.187,4658130,T,"Draper, G.;Riesenfeld, R.F.",37869715500;37448812400,"Draper, G.;Riesenfeld, R.F.",draper_infovis_08,4376187;559210;1532134;963279;146402;4376141;4035756;729555;963287;885086;4376146;4389013;885091;4376131;4015425
InfoVis,2007,A Taxonomy of Clutter Reduction for Information Visualisation,10.1109/TVCG.2007.70535,http://dx.doi.org/10.1109/TVCG.2007.70535,4376143,T,"Ellis, G.;Dix, A.",37283380700;37283381700,"Ellis, G.;Dix, A.",ellis_infovis_07,1249018;885092;4015422;1532819;1249008;809866;885091;745301;636789;1173156;1249019;636792;528685;1382895;4015444
InfoVis,2007,AdaptiviTree: Adaptive Tree Visualization for Tournament-Style Brackets,10.1109/TVCG.2007.70537,http://dx.doi.org/10.1109/TVCG.2007.70537,4376130,T,"Tan, D.S.;Smith, G.;Bongshin Lee;Robertson, G.G.",37955052000;37960251500;37293389400;37448060300,"Tan, D.S.;Smith, G.;Bongshin Lee;Robertson, G.",tan_infovis_07,1173148;1173158;636718;4035741
InfoVis,2007,Animated Transitions in Statistical Data Graphics,10.1109/TVCG.2007.70539,http://dx.doi.org/10.1109/TVCG.2007.70539,4376146,T,"Heer, J.;Robertson, G.G.",37550791300;37448060300,"Heer, J.;Robertson, G.",heer_infovis_07,801854;963279;1173148
