Conference,Year,"Panel, Keynote, Captstone, Demo, Poster, ...","Paper type: C=conference paper, T = TVCG journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Names,Author IDs,IEEE Xplore Number Guessed,Deduped author names,filename,References,
VAST,2014,,T,"Matkovic, K.;Gracanin, D.;Splechtna, R.;Jelovic, M.;Stehno, B.;Hauser, H.;Purgathofer, W.",;;;;;;,,"Matkovic, K.;Gracanin, D.;Splechtna, R.;Jelovic, M.;Stehno, B.;Hauser, H.;Purgathofer, W.",matkovic_vast_14,5613487;6327232;4658193;5290719;5613486,
VAST,2014,,T,"Zuchao Wang;Tangzhi Ye;Min Lu;Xiaoru Yuan;Huamin Qu;Yuan, J.;Qianliang Wu",;;;;;;,,"Zuchao Wang;Tangzhi Ye;Min Lu;Xiaoru Yuan;Huamin Qu;Yuan, J.;Qianliang Wu",wang1_vast_14,6400556;1382887;4677356;1532151;6102458;6065001;6634174;6634194;5332584;6634127;6102454;6102455;5290694;6327262,
VAST,2014,,T,"Madhavan, K.;Elmqvist, N.;Vorvoreanu, M.;Xin Chen;Yuetling Wong;Hanjun Xian;Zhihua Dong;Johri, A.",;;;;;;;,,"Madhavan, K.;Elmqvist, N.;Vorvoreanu, M.;Xin Chen;Yuetling Wong;Hanjun Xian;Zhihua Dong;Johri, A.",madhavan_vast_14,4376134;6065005;5613437;6327279;5290717;6634091;963283;6327248;4677361,
VAST,2014,,T,"Wei Zeng;Chi-Wing Fu;Arisona, S.M.;Erath, A.;Huamin Qu",;;;;,,"Wei Zeng;Chi-Wing Fu;Arisona, S.M.;Erath, A.;Huamin Qu",zeng_vast_14,963273;6065021;6065020;5290710;6327262;6634174;6634127;6102455;1532150,
VAST,2014,,T,"Jiawan Zhang;Yanli, E.;Jing Ma;Yahui Zhao;Binghan Xu;Liting Sun;Jinyan Chen;Xiaoru Yuan",;;;;;;;,,"Jiawan Zhang;Yanli, E.;Jing Ma;Yahui Zhao;Binghan Xu;Liting Sun;Jinyan Chen;Xiaoru Yuan",zhang_vast_14,6400557;6400556;6634174;5290695;4677356;6327271;6634110;6634127;6102455;6102460;5290706,
VAST,2014,,T,"Sungahn Ko;Jieqiong Zhao;Jing Xia;Afzal, S.;Xiaoyu Wang;Abram, G.;Elmqvist, N.;Kne, L.;Van Riper, D.;Gaither, K.;Kennedy, S.;Tolone, W.;Ribarsky, W.;Ebert, D.S.",;;;;;;;;;;;;;,,"Sungahn Ko;Jieqiong Zhao;Jing Xia;Afzal, S.;Xiaoyu Wang;Abram, G.;Elmqvist, N.;Kne, L.;Van Riper, D.;Gaither, K.;Kennedy, S.;Tolone, W.;Ribarsky, W.;Ebert, D.S.",ko1_vast_14,885098;6064950;6327294;4376134;5613487;6634184;5613486;6102460;6102457,
VAST,2014,,T,"Malik, A.;Maciejewski, R.;Towers, S.;McCullough, S.;Ebert, D.S.",;;;;,,"Malik, A.;Maciejewski, R.;Towers, S.;McCullough, S.;Ebert, D.S.",malik_vast_14,6634169;6634096;6400491;4389006;6634100,
VAST,2014,,T,"Konev, A.;Waser, J.;Sadransky, B.;Cornel, D.;Perdigao, R.A.P.;Horvath, Z.;Groller, M.E.",;;;;;;,,"Konev, A.;Waser, J.;Sadransky, B.;Cornel, D.;Perdigao, R.A.P.;Horvath, Z.;Groller, E.",konev_vast_14,1173149;885727;5613488;6064952;5613487;4658193,
VAST,2014,,T,"Partl, C.;Lex, A.;Streit, M.;Strobelt, H.;Wassermann, A.-M.;Pfister, H.;Schmalstieg, D.",;;;;;;,,"Partl, C.;Lex, A.;Streit, M.;Strobelt, H.;Wassermann, A.M.;Pfister, H.;Schmalstieg, D.",partl_vast_14,6634163;6327248;6327277;4389006;4015424;6634091,
VAST,2014,,T,"Kothur, P.;Sips, M.;Dobslaw, H.;Dransch, D.",;;;,,"Kothur, P.;Sips, M.;Dobslaw, H.;Dransch, D.",kothur_vast_14,6327226;6327206;4658178,
VAST,2014,,T,"Bowen Yu;Doraiswamy, H.;Xi Chen;Miraldi, E.;Arrieta-Ortiz, M.L.;Hafemeister, C.;Madar, A.;Bonneau, R.;Silva, C.T.",;;;;;;;;,,"Bowen Yu;Doraiswamy, H.;Xi Chen;Miraldi, E.;Arrieta-Ortiz, M.L.;Hafemeister, C.;Madar, A.;Bonneau, R.;Silva, C.T.",yu_vast_14,4658137;5290693;6064996;5290692,
VAST,2014,,T,"Lujan Ganuza, M.;Ferracutti, G.;Gargiulo, M.F.;Castro, S.M.;Bjerg, E.;Groller, E.;Matkovic, K.",;;;;;;,,"Lujan Ganuza, M.;Ferracutti, G.;Gargiulo, M.F.;Castro, S.M.;Bjerg, E.;Groller, E.;Matkovic, K.",ganuza_vast_14,885086;5290748;485139,
VAST,2014,,T,"Poco, J.;Dasgupta, A.;Yaxing Wei;Hargrove, W.;Schwalm, C.R.;Huntzinger, D.N.;Cook, R.;Bertini, E.;Silva, C.T.",;;;;;;;;,,"Poco, J.;Dasgupta, A.;Yaxing Wei;Hargrove, W.;Schwalm, C.R.;Huntzinger, D.N.;Cook, R.;Bertini, E.;Silva, C.T.",poco_vast_14,4658178;6327268;1532821;6634124;6400486;6634115;6634158;4677350;6634156,
InfoVis,2014,,T,"Demiralp, C.D.;Bernstein, M.S.;Heer, J.",;;,,"Demiralp, C.;Bernstein, M.S.;Heer, J.",demiralp_infovis_14,5613436;4015420;4376133;6064993;4376151;4658146;5613441;4376146,
